,lextype,id,woi,senseid,context
0,accident-n,800001,accident,532675,"Late on Thursday night it was travelling at about three metres a second in wind blowing at 20 to 25 knots when an empty car fell off just as it reached the top.  The accident appeared to have little effect on the Christmas party, except to lengthen it considerably."
1,accident-n,800002,accident,532675,"An image of earnest Greenery is almost tangible.  Eighteen years ago she lost one of her six children in an accident on Stratford Road, a tragedy which has become a pawn in the pitiless point-scoring of small-town vindictiveness."
2,accident-n,800003,accident,532675,It's a sentiment I recommend to you all.  The accident occurred on the Saturday of the annual Popular Flying Association (PFA) rally at Cranfield.
3,accident-n,800004,accident,538889,"Wasted journey: Pergamon protesters waiting outside the Oxford Union debating chamber for Robert Maxwell  NORTHERN Ireland Transport Minister Mr Peter Bottomley, today pledged a full inquiry into last night's rail crossing tragedy in which three people died and 27 were injured. After meeting accident investigators, he said the inquiry's findings would be made public."
4,accident-n,800005,accident,532675,"Senna's evidence has been heard by the FIA, but the lengthy deliberation by the three-man tribunal means that the case is not as clear-cut as Jean-Marie Balestre, the FIA president, believed on the night of the race.  Balestre had no hesitation in blaming Senna for the accident, adding that he had broken the rules by rejoining in the way he did."
5,accident-n,800006,accident,532675,"In Tarragona, the site of the Vandellos 1 reactor in northern Spain, confusion seems to have been rife too &dash. this time with consequences that could have been more serious.  The accident caused no injuries and no radioactivity was released."
6,accident-n,800007,accidents,532675,"HOW SAFE IS YOUR KITCHEN?  Safety Week to highlight perils in our kitchens  HAVE you ever spilt boiling water from a kettle or mug, slipped on potato peel on the floor, cut yourself on an open tin, or climbed onto a wobbly chair to reach into a high cupboard and fallen off. More than 250,000 people have to go to hospital each year because of accidents in the kitchen."
7,accident-n,800008,accident,532675,"It will be some time before that's clear at all.  Also on the A thirty four, at Great Rollright near Chipping Norton, there's been a serious accident there and there are tailbacks beginning to grow in both directions."
8,accident-n,800009,accidents,532674,"Before the contract could be performed one of the barges was lost.  The court held that the contract had not been frustrated by the loss of the barge, not by the decision of the shipowners, whether reasonable or not, not to use their second barge for the performance of the contract. In construing the contract, the expression `perils or danger and accidents of the sea"" described a proximate cause of loss which could arise with or without negligence."
9,accident-n,800010,accident,538889,"The Cessna 310 used by FLYER magazine was written off in an accident on landing in December.  Geoffrey Boot, who was in command, details G-FLIX'S last flight. We all read accident reports."
10,accident-n,800011,accident,532675,She bought it.  It had been in an accident and it was worthless.
11,accident-n,800012,accident,532675,"If, like me, she had a recently qualified house physician in the family she would be acutely aware of the following facts: a houseman in as modern a hospital as Oxford's John Radcliffe has to sign a contract for 104 hours a week; payment, beyond the basic 40 hours, is at 38 per cent of the normal wage &dash. less than a cleaner's.  There is no pay at all after the contracted hour; night duty has been rendered far more intensive because of the recent changes the Ministry has sanctioned. My daughter is responsible at night for more than 100 patients including organ transplants, accident, and open access from renal patients."
12,accident-n,800013,accident,538889,"Results are due on March 13.  At the same time, local talks to restart some sort of accident and emergency service appear to be getting nowhere."
13,accident-n,800014,accidents,532675,"The court ruled that, under international law, the maximum the claimant was entitled to was only #11,800.  The appeal court's decision will surprise all except those familiar with the laws which govern compensation for air accidents and disasters."
14,accident-n,800015,accidents,532675,"The NHS in Oxford region could save hundreds of thousands of pounds by promoting the use of cycle and horse riding helmets, according to head injury specialists.  In a new report they say that just one patient severely disabled by head injuries costs #50,000 in the first year and perhaps ten times that much over a lifetime. The doctors suggest a strategy to combine the promotion of helmets with moves to reduce alcoholism, and therefore drink-related accidents."
15,accident-n,800016,accidents,532675,"`Boats can dislodge a cable and put out a light.  So far there have been no serious incidents as a result of lights that have been out of action, but there is a {typo bad=""possiblity"",good=""possibility""} of accidents occurring."""
16,accident-n,800018,accidents,532675,"The decision is an important victory for Eurotunnel which had warned that the economics of the project could be hampered if it was forced to segregate passengers from their cars.  However, it will be met with anger by Eurotunnel's critics who argue that the risk to the public will be increased in the event of accidents or fires inside the tunnel."
17,accident-n,800019,accident,532675,"`And if there's one thing he's not, it's cheap = =""  unhurt from a heavy accident while testing tyres at Estoril last week."
18,accident-n,800020,accidents,532675,"He was murdered because of a bomb placed on Pan Am flight 103, just prior to last Christmas.  We know that all of us will eventually die from disease, natural disaster, accidents or whatever."
19,accident-n,800021,accident,532675,Williams designer Patrick Head said the car had absorbed 25 times the energy of the 20mph control crash tests each F1 car has to be put through.  All the legislation in the world couldn't have coped with an accident of such violence.
20,accident-n,800023,accident,532675,"Indeed, Mansell was the only driver actually to pass Senna all season.  Sometimes, of course, he did not make it and, the accident in Portugal aside, Mansell's mistake when he reversed in the pits was an uncharacteristic blow in an otherwise excellent year."
