***ANY**  999997 U *ANY* UNASSIGNABLE
**ANY**  999998 T *ANY* TYPO
**ANY**  999999 P *ANY* PROPER
accident 532674 chance n accident//2
accident 532675 crash n accident//1
accident 532676 byac n accident//2.1
accident 532677 waiting n accident//1.1
accident 532678 happen n accident//1.2
accident 534525 pee n accident//1.3
accident 538889 crashmod n accident//1.b
accident 538895 crashnu n accident//1.a
amaze 512617 aston a amazing
amaze 512619 astonv v amaze
band 532732 strip n band/2/1
band 532733 stripe n band/2/1.2
band 532734 range n band/2/2
band 532735 group n band/1/2
band 532736 mus n band/1/1
band 532744 brass n brass_band
band 532745 radio n band/2/2.1
band 532746 vb v band/1/3
band 532747 silver n silver_band
band 532756 steel n steel_band
band 532765 big n big_band
band 532782 dance n dance_band
band 532790 elastic n elastic_band
band 532806 march n marching_band
band 532814 man n one-man_band
band 532838 rubber n rubber_band
band 532903 ed n band/2/3
band 532949 saw n band_saw
band 532963 course n band_course
band 532979 pl n band/2/4
band 533487 vb2 a band/2/5
band 533495 portion n band/2/1.3
band 533508 waist n waistband
band 533520 ring n band/2/1.4
band 533522 sweat n sweat_band
band 533580 wrist n wristband//1
band 533705 vb3 v band/2/6
band 533706 vb4 v band/2/7
band 533768 wristlet n wristband//2
behaviour 512740 socialn n behaviour//1
behaviour 512741 ofthing n behaviour//2
behaviour 512742 best n behaviour//1.1
bet 519907 gamble v bet//7
bet 519908 think v bet//9.1
bet 519910 hedge n bet//6
bet 519911 off n bet//5
bet 519912 probability n bet//4
bet 519913 advice n bet//3
bet 519914 wager n bet//1
bet 519916 money v bet//7.1
bet 519917 bettee n bet//1.1
bet 519918 activity n betting//1
bet 519925 actmod n betting//1.a
bet 519926 you v bet//10
bet 520048 assume v bet//9.2
bet 520050 unlikely v bet//9.3
bet 520051 speculate v bet//8
bet 520056 odds n betting//1.1
bet 520057 speculation n bet//2
bet 520892 whats n betting//2.1
bet 520894 chances n betting//1.2
bet 520895 likelihood n betting//2
bet 521071 ditrans v bet//7.2
bet 521282 **NONE** v bet//9
bet 521322 shop n betting_shop
bet 521347 chancesout n betting//1.3
bitter 500633 beer n bitter//6
bitter 500634 weather a bitter//5
bitter 500635 argument a bitter//3
bitter 500636 feelings a bitter//2
bitter 500637 taste a bitter//1
bitter 506103 end a bitter//4.1
bitter 506104 pill a bitter//1.2
bitter 506126 beer-c n bitter//6.a
bitter 506637 unpleasant a bitter//4
bitter 506671 sweet a bitter-sweet/1/2
bitter 506672 flavour a bitter-sweet/1/1
bitter 506673 plant n bitter-sweet/2/1
bitter 506680 chocolate a bitter//1.1
bitter 521925 bitter a bitter_lemon
bother 501563 upset v bother//3
bother 501566 mkeffort v bother//1
bother 501567 interest v bother//5
bother 501571 fuss n bother//6
bother 501572 exclam v bother//10
bother 501573 cantbb v bother//1.1
bother 502545 pester v bother//4
bother 502546 spot n bother//7
bother 502547 fight n bother//9
bother 502548 hot a bother//3.1
bother 503751 concernself v bother//2
bother 503758 bbabout v bother//2.1
bother 513485 boots n bother_boots
bother 520409 nuisance n bother//8
brilliant 538322 pers a brilliant//3
brilliant 538323 ach a brilliant//1
brilliant 538324 color a brilliant//4
brilliant 538325 perf a brilliant//2
brilliant 538326 righton a brilliant//1.1
brilliant 538379 sun a brilliant//5
brilliant 538380 horse a brilliant//2.a
brilliant 538392 diamond n brilliant//8
brilliant 538395 music a brilliant//7
brilliant 538441 smile a brilliant//6
brilliant 538443 admir a brilliant//9
bury 514112 hatchet v bury//2.1
bury 514113 inter v bury//1
bury 514123 ostrich v bury//4.2
bury 514124 putdeep v bury//4
bury 514131 inground v bury//2
bury 514668 consign v bury//6
bury 514669 engross v bury//4.1
bury 514756 cover v bury//3
bury 514951 defeat v bury//6.1
bury 514953 putaway v bury//4.3
bury 514955 vi v bury//4.4
bury 514956 dandb v bury//1.2
bury 514959 lose v bury//1.1
bury 515026 hide v bury//5
calculate 510255 scheming a calculating
calculate 510265 intend v calculate//3
calculate 510270 reckon v calculate//1
calculate 510285 considered v calculated
calculate 510343 assess v calculate//2
calculate 510345 intrans v calculate//1.a
calculate 510536 likely v calculate//3.1
